MAE,RMSE,SFN,MAPE
524.9947918050457,668.179612520184,0.06118038669228554,0.9999871744686933
524.9894649740309,668.1742986582683,0.06118026003241539,0.9999723283944698
524.968626835694,668.1540693446823,0.061179548501968384,0.9999117490304616
524.8026675730944,667.9940145491402,0.06117282062768936,0.9994216477802101
521.7050473690033,665.0433951995716,0.06103450432419777,0.9900418166698871
509.54374472300213,653.7523027587796,0.060529228299856186,0.9523287534765887
492.06393496195477,637.2378033074025,0.05980192869901657,0.8994597409333375
463.3456268310547,609.4538708606881,0.058580704033374786,0.8154009565434824
409.1188456217448,555.9919644537997,0.05629660189151764,0.6620417437979693
321.0368016560872,449.44107326448204,0.052184171974658966,0.48284414673180603
223.5292714436849,263.50998935180667,0.046569496393203735,0.5857825800678361
241.36253865559897,288.78334947173335,0.04475635662674904,1.0591776150949663
