MAE,RMSE,SFN,MAPE
40.960702441987536,74.64760466596383,0.014191456139087677,0.3169974949907268
33.26395507085891,52.877232055074586,0.010277090594172478,0.42241343828825156
56.101752326602025,74.07208721751401,0.009007217362523079,0.7780420555984843
46.3248162042527,74.12627319366395,0.008689966052770615,0.5475266980557952
34.9849670955113,62.78310201993571,0.007964599877595901,0.3767009827854763
102.5192634945824,121.11035138684026,0.011647031642496586,1.3525626950277283
46.7649888538179,70.88350067506553,0.008070151321589947,0.5430034849761309
54.1885495867048,75.4486436403076,0.008306656032800674,0.626540129838656
61.02644838605608,81.49273588887948,0.008742873556911945,0.6971091529157412
74.33946827479771,93.5207948428861,0.00981067307293415,0.8804330506889048
61.09725861322312,79.10049443827386,0.00848235934972763,0.7137167307925493
40.815553211030505,51.690671700411094,0.006778285373002291,0.5053711912994734
63.813659486316496,79.45100135419567,0.008786638267338276,0.779090578335779
51.51896903628395,63.30652662687534,0.0078092156909406185,0.6157866588484586
39.229555856613885,49.000127817065355,0.007019862998276949,0.45513850014153623
35.92297853742327,45.09450421140225,0.006833110935986042,0.41866134768427365
35.9092766898019,44.50787518582043,0.007056086324155331,0.41167056295766147
37.514684586297896,44.43018818178237,0.006940076593309641,0.45447587918878024
35.81629153660366,41.297014043983225,0.006776538677513599,0.4527621251760467
24.912812005905877,32.33978039144903,0.006219406612217426,0.28996814528514697
